"Reviews							||"	Sentiment (0=Worst, 5=Neutral 10=Best)
For a movie that gets no respect there sure are a lot of memorable quo	4.1
Bizarre horror movie filled with famous faces but stolen by Cristina R	10.0
A solid, if unremarkable film. Matthau, as Einstein, was wonderful. My	5.9
It's a strange feeling to sit alone in a theater occupied by parents a	10.0
You probably all already know this by now, but 5 additional episodes n	10.0
I saw the movie with two grown children. Although it was not as clever	3.3
You're using the IMDb.<br /><br />You've given some hefty votes to som	10.0
This was a good film with a powerful message of love and redemption. I	10.0
Made after QUARTET was, TRIO continued the quality of the earlier film	10.0
For a mature man, to admit that he shed a tear over this film is a mat	2.3
Aileen Gonsalves, my girlfriend, is in this film playing a secretary a	8.5
Jonathan Demme's directorial debut for Roger Corman's legendary exploi	10.0
When I rented this movie to watch it, I knew that it was not going to 	3.6
It's hard to say sometimes why exactly a film is so effective. From th	3.1
Yes, this gets the full ten stars. It's plain as day that this fill is	2.7
Hello. This movie is.......well.......okay. Just kidding! ITS AWESOME!	10.0
This is a film that was very well done. I had heard mixed reviews whil	10.0
A typical romp through Cheech and Chong's reality which includes drugs	10.0
OK heres what I say: <br /><br />The movie was excellent. I am a huge 	8.4
This is one of the first films I can remember, or maybe the first one.	6.3
This film is worth seeing alone for Jared Harris' outstanding portraya	10.0
I was 10 years old when this show was on TV. By far it was my favorite	10.0
Here's another movie that should be loaded into a satellite, fired int	1.0
To all the reviewers on this page, I would have to say this movie is w	1.9
"A favourite of mine,this movie tells of two feuding New York ""characte"	10.0
As Most Off You Might off Seen Star Wars: Return Off The Jedi You May 	1.4
I thought this movie was LOL funny. It's a fun, not to be taken seriou	10.0
Hood of the Living Dead had a lot to live up to even before the openin	5.0
Pierce Brosnan the newest but no longer James Bond, is an assassin. He	1.6
This is one of those Film's/pilot that if you knew BattleStar Galactic	10.0
This couldn't have been better. The strong restraints on Mike Sullivan	10.0
I was probably one of the few Australians not watching the tennis when	7.3
My evaluation: 8/10<br /><br />I like a lot this movie. Compare to tod	10.0
James Stewart stars in a classic western tale of revenge which ties in	10.0
This movie didn't really surprise me, as such, it just got better and 	3.1
One of the most nihilistic and brutal films I've ever seen, but also o	7.4
This is an excellent film for female body-builder & female action fans	10.0
This is a great movie that I don't think gets enough credit as Saturda	10.0
One of the best love stories I have ever seen. It is a bit like watchi	10.0
Thanks should be given to the Hong Kong VCD/DVD distributors that I on	3.8
Mesmerizing, breathtaking and horrifying, this hauntingly beautiful fi	10.0
I have to say that this miniseries was the best interpretation of the 	10.0
At first glance, it would seem natural to compare Where the Sidewalk E	10.0
`Castle of Blood' (aka `Castle of Terror') is a well-crafted, surprisi	10.0
Cuban Blood is one of those sleeper films that has a lot to say about 	3.2
Henri Verneuil's film may be not so famous as Parallax View, 3 Days of	1.2
Did you ever wonder how far one movie could go? <br /><br />Schizophre	1.0
As a long-standing Barbra fan, any posting like this will be biased. T	10.0
I happen to run into this movie one night so I decided to watch it! I 	10.0
I realized a couple of days ago that the makers of this film put a pla	10.0
I am writing this after just seeing The Perfect Son at the 2002 Gay an	10.0
The premise of the story is simple: An old man living alone in the woo	4.7
I saw this film a while back and it's still at the top of my 'favorite	4.7
I work with children from 0  6 years old and they all love the Doodle	10.0
this independent film was one of the best films at the tall grass film	10.0
To make it short and not to spoil everything this film is about Kip (G	1.0
FORBIDDEN PLANET is the best SF film from the golden age of SF cinema 	10.0
"Halfway through Lajos Koltai's ""Evening,"" a woman on her deathbed asks"	10.0
"I sit through movies like ""Tiempo de valientes"" and I want to talk abo"	10.0
North Africa in the 1930's. To a small Arab town on the edge of the Sa	10.0
An excellent documentry. I personally remember this growing up in NYC 	10.0
The H.G. Wells Classic has had several Incarnations. The 05' Speilburg	10.0
It is one of the better Indian movies I have seen lately, instead of c	4.2
Caught the tail end of this movie channel surfing through the cable mo	1.4
A great Bugs Bunny cartoon from the earlier years has Bugs as a perfor	10.0
After the usual chase scene, Jerry accidentally winds up inside a bott	10.0
This is a comedy of morals, so occasionally a gentle touch of bitterne	7.2
The 60's is a great movie(I saw it completely in one night) about the 	10.0
Mitchell Leisen's fifth feature as director, and he shows his versatil	4.6
I had been looking forward to How to Lose Friends & Alienate People fo	10.0
This short is a puzzlement. Words fail me here, as this is almost inde	7.3
This is te cartoon that should have won instead of Country Cousin. Vis	2.5
This film seems to be well remembered as the time Tom & Jerry signed a	5.0
"This is so exciting! After I saw ""La Roue"" this afternoon, a short, li"	10.0
I wasn't sure when I heard about this coming out. I was thinking how d	1.1
Tommy JOnes and Matt Dillon do the gambling world proud. The various m	10.0
Man On Fire tells a story of an ex-special forces guy with a drinking 	10.0
this movie has a great message,a impressive cast, ellen burstyn, saman	10.0
House of games has a strong story where obsession and illusion play a 	10.0
First off, I'm not some Justin Timberlake fangirl obsessed with making	1.0
A well-made and imaginative production, refreshingly free from cliché,	10.0
First off, I'd like to make a correction on another review of this fil	8.6
I was never a big fan of television until I watched 24 for the first t	3.9
A very strange and compelling movie. It's about a very awkward and tig	10.0
This is certainly one of my all time fav episodes of Trek. There is ju	4.5
enjoyed the movie and efficient Confucian crime drama, the old order s	10.0
This movie seems on the surface to be a run of mill kids movie that pa	10.0
Steve Carell has made a career out of portraying the slightly odd stra	10.0
If, like me, you like your films to be unique, and unlike the majority	1.0
i would like to comment the series as a great effort. The story line a	10.0
One night I stumbled upon this on the satellite station Bravo.Initiall	1.8
The film maybe goes a little far, but if you love the show it's what y	1.0
I happened upon this film by accident, and really enjoyed. Timothy Bus	8.4
Sure it was well shot and made, very well shot and made! But the story	1.0
"""Heartland"" is a wonderful depiction of what it was really like to liv"	10.0
I saw the film twice in the space of one week, both times the at a cin	10.0
"This is not ""so bad that it is good,"" it is purely good! For those who"	1.0
Every great gangster movie has under-currents of human drama. Don't ex	10.0
This movie was the best movie I have ever seen. Being LDS I highly rec	7.7
Beautiful film, pure Cassavetes style. Gena Rowland gives a stunning p	10.0
Sure, it was cheesy and nonsensical and at times corny, but at least t	2.8
"For a movie with a plot like this I would normally smell ""tearjerker"" "	10.0
A meteor drops from the sky and reawakens a plesiosaur that long ago u	1.8
While it certainly wasn't the best movie I've ever seen, it was certai	10.0
I just recently watched this 1954 movie starring Vincent Price for the	7.4
Starlift is a pleasant and interesting throwback to those all star mus	10.0
"Antonio Margheriti's ""Danza Macabra"" aka. ""Castle Of Blood"" of 1964 is"	10.0
A famous orchestra conductor, Daniel Dareus, suffers what appears a he	10.0
"This movie is bufoonery! and I loved it! The ""dragon lord"" (Jacky Chan"	10.0
"I LOVE Jack's jokes like 'The cliché is...' or ""Over the top cliché gu"	10.0
This is definitely one of Jet's best efforts. Few actors are able to p	10.0
This was one of the highlights of ST:TNG's semi-forgettable second sea	5.0
Claire Denis has demonstrated repeatedly that film does not need to te	1.0
As if most people didn't already have a jittery outlook on the field o	3.8
I decided to watch this because of the recommendations from this site.	2.7
What a loss the passing of director Emile Ardolino was! He could take 	10.0
I thought this move was very good. There were a few things that were l	5.0
i thought this movie was really really great! Helena did an amazing jo	10.0
This is a quirky little movie, and I have to agree that there is some 	1.8
This is a great example of a good, dumb movie. No, it is not high art 	10.0
This was a must see documentary for me when I missed the opportunity i	10.0
It'd be easy to call Guys and Dolls great. It's got Frank Sinatra and 	10.0
Joe Buck (Jon Voight) decides he's going to leave his small life in Te	4.6
"As I am no fan of almost any post-""Desperate Living"" John Waters films"	7.6
One of my favorite scenes is at the beginning when guests on a private	7.3
I don't know why some people criticise that show so much.<br /><br />I	10.0
"It was in 1988, when I saw ""The Ronnie and Nancy Show"" for the first t"	10.0
This was a superb episode, one of the best of both seasons. Down right	10.0
The first of the official Ghibli films, Laputa is most similar to its 	10.0
Cute film about three lively sisters from Switzerland (often seen runn	2.6
Pleasant story of the community of Pimlico in London who, after an une	10.0
I adored this movie. Not only because I am a big fan of Moritz Bleibtr	10.0
What a master piece. To take the cold war conflict and transport it to	6.6
Still the definitive program about the Second World War, The World At 	10.0
After 'Aakrosh' , this was the second film for Govind Nihalani as a di	10.0
Considering the lack of art with in African cinema (or Black American 	10.0
The dehumanising effect of war is a much-studied subject in the movies	10.0
A real classic. A shipload of sailors trying to get to the towns daugh	4.5
"There's something about every ""Hammer"" movie I see that really takes m"	9.7
This was just another marvelous film of the Berlin Festival. But unlik	1.0
Russ and Valerie are having discussions about starting a family. The c	7.6
"""Margaritas and Cock...""<br /><br />This tremendously entertaining fil"	10.0
The third Fred MacMurray/Carole Lombard film is a bit more serious tha	7.2
The wonderfully urbane Ronald Coleman is show-cased here as in few oth	10.0
Both visually and musically stunning. A treat for both the eye and the	10.0
"""Happenstance"" is the most New York-feeling Parisian film I've seen si"	10.0
Those who love Elivra as I did in her late night movie hostess duties 	10.0
This Showtime movie really deserves a far better viewer rating than a 	3.2
"""Girlfight"" is much more of a coming-of-age-story than it is a fight f"	5.0
'Holes' was a GREAT movie. Disney made the right choice. Every person 	10.0
Easily one of the ten best movies of the 20th century. In Cold Blood i	1.6
A great suspense movie with terrific slow camera-work adding to the dr	10.0
Shamefully, before I saw this film, I was unfamiliar with Helena Bonha	10.0
Dominion Tank Police is without a shell of a doubt, one of the most am	10.0
"A beautiful new print of ""Zabriskie Point"" is playing in Paris and see"	4.2
"Sure, he became rapidly uneven after this film, but from ""Knife In the"	10.0
"""Xizao"", is the tale about the clash of modern life and ancient tradit"	5.0
The creators of south park in their own film here, this is a brilliant	10.0
"Even if you know absolutely nothing about Ireland, you have to love ""M"	10.0
This is one of my favorite films of all time. Al Pacino acting is at i	1.8
James Stewart and Margaret Sullavan play co-workers in a Budapest gift	7.0
I just watched I. Q. again tonight and had forgotten how much I love t	10.0
Robin Williams and Kurt Russell play guys in their 30's who put their 	10.0
Perhaps it's me and my perverted ways, or the fact that I tend to have	1.7
